stock,model,feature_set,test_days,train_size,test_size,rmse,mae,directional_accuracy,naive_rmse,naive_mae,beat_naive
NVDA,Random Forest,Tech+Sent,30,1317,30,4.919294039968629,3.8633635789194085,62.06896551724138,4.779300203652364,3.6599989266231083,False
NVDA,Random Forest,Tech+Sent,60,1287,60,4.402826231785904,3.1970399013883726,52.54237288135594,3.9947628937857225,3.0230487888142177,False
NVDA,Random Forest,Tech+Sent,90,1257,90,6.721921509322401,4.719516589125723,46.06741573033708,4.327568407985696,3.4059882003269806,False
NVDA,XGBoost,Tech-Only,30,1317,30,6.607001703697147,5.456426493326827,51.724137931034484,4.779300203652364,3.6599989266231083,False
NVDA,XGBoost,Tech-Only,60,1287,60,5.262628649944076,4.2061597188313815,54.23728813559322,3.9947628937857225,3.0230487888142177,False
NVDA,XGBoost,Tech-Only,90,1257,90,7.078878167595399,5.002766757541234,48.31460674157304,4.327568407985696,3.4059882003269806,False
NVDA,XGBoost,Tech+Sent,30,1317,30,6.607001703697147,5.456426493326827,51.724137931034484,4.779300203652364,3.6599989266231083,False
NVDA,XGBoost,Tech+Sent,60,1287,60,5.262628649944076,4.2061597188313815,54.23728813559322,3.9947628937857225,3.0230487888142177,False
NVDA,XGBoost,Tech+Sent,90,1257,90,7.078878167595399,5.002766757541234,48.31460674157304,4.327568407985696,3.4059882003269806,False
META,Linear Regression,Tech-Only,30,1317,30,17.954291247292964,12.052235780664038,51.724137931034484,18.217593043257803,12.265515557650861,True
META,Linear Regression,Tech-Only,60,1287,60,14.10121727376401,9.871025058683585,47.45762711864407,14.272617524156251,9.967174465373411,True
META,Linear Regression,Tech-Only,90,1257,90,15.93882597274969,10.195737555064872,52.80898876404494,15.778107469554394,10.020511927229634,False
META,Linear Regression,Tech+Sent,30,1317,30,17.954291247292986,12.052235780664068,51.724137931034484,18.217593043257803,12.265515557650861,True
META,Linear Regression,Tech+Sent,60,1287,60,14.101217273764002,9.871025058683575,47.45762711864407,14.272617524156251,9.967174465373411,True
META,Linear Regression,Tech+Sent,90,1257,90,15.93882597274969,10.195737555064872,52.80898876404494,15.778107469554394,10.020511927229634,False
META,Random Forest,Tech-Only,30,1317,30,18.49040399001047,12.18254048926924,65.51724137931035,18.217593043257803,12.265515557650861,False
META,Random Forest,Tech-Only,60,1287,60,14.684566127080489,10.66094150501015,45.76271186440678,14.272617524156251,9.967174465373411,False
META,Random Forest,Tech-Only,90,1257,90,17.862810996519435,11.97510783860294,47.19101123595505,15.778107469554394,10.020511927229634,False
META,Random Forest,Tech+Sent,30,1317,30,18.27111446792955,12.178942549472962,58.620689655172406,18.217593043257803,12.265515557650861,False
META,Random Forest,Tech+Sent,60,1287,60,14.83577269379238,10.6016188109415,45.76271186440678,14.272617524156251,9.967174465373411,False
META,Random Forest,Tech+Sent,90,1257,90,17.8016858284835,12.07558538028459,43.82022471910113,15.778107469554394,10.020511927229634,False
META,XGBoost,Tech-Only,30,1317,30,25.097880396298464,19.383001708984374,55.172413793103445,18.217593043257803,12.265515557650861,False
META,XGBoost,Tech-Only,60,1287,60,17.156688703711854,12.297164916992188,52.54237288135594,14.272617524156251,9.967174465373411,False
META,XGBoost,Tech-Only,90,1257,90,22.45453193458313,16.171473524305554,52.80898876404494,15.778107469554394,10.020511927229634,False
META,XGBoost,Tech+Sent,30,1317,30,25.097880396298464,19.383001708984374,55.172413793103445,18.217593043257803,12.265515557650861,False
META,XGBoost,Tech+Sent,60,1287,60,17.156688703711854,12.297164916992188,52.54237288135594,14.272617524156251,9.967174465373411,False
META,XGBoost,Tech+Sent,90,1257,90,22.45453193458313,16.171473524305554,52.80898876404494,15.778107469554394,10.020511927229634,False
AAPL,Linear Regression,Tech-Only,30,1317,30,5.164660260010864,3.8194688865632402,48.275862068965516,5.1828094451545095,3.832542682516166,True
AAPL,Linear Regression,Tech-Only,60,1287,60,3.916566808823043,2.7028460538717494,49.152542372881356,3.8938273371272505,2.6755950410487297,False
AAPL,Linear Regression,Tech-Only,90,1257,90,3.7512587489489806,2.608422446222316,56.17977528089888,3.54367310783071,2.459670849060745,False
AAPL,Linear Regression,Tech+Sent,30,1317,30,5.1646602600108755,3.819468886563241,48.275862068965516,5.1828094451545095,3.832542682516166,True
AAPL,Linear Regression,Tech+Sent,60,1287,60,3.9165668088230428,2.7028460538717334,49.152542372881356,3.8938273371272505,2.6755950410487297,False
